Commit Hash,Aurthor,Week Day,Day,Month,Year,Date,Time,Time Zone,Subject
8ccd88a,daflair,Sat,13,Oct,2012,2012-10-13,09:14:03,-0400,"Added TallyStats varmeansq, OutputStats N/pad masks, RegionPlot Zones/ZoneBands, CreateSUP flip/dataImage/sheetImage"
ed03626,daflair,Wed,3,Oct,2012,2012-10-03,11:30:50,-0400,"Switched to L-Density; Added @UPLab; Improved stats, overlay, lims; Disabled delayedCall(updateData);"
f04f33d,daflair,Wed,19,Sep,2012,2012-09-19,10:24:28,-0400,"Improving tallyRegionStats, outputRegionStats, generateUPStats‰Û_"
514e375,daflair,Thu,13,Sep,2012,2012-09-13,06:00:56,-0400,Working on new RegionPlotDataSource & TransientStats upgrades (exporting early series)
e638ec1,daflair,Wed,12,Sep,2012,2012-09-12,13:03:06,-0400,Implemented TransientStats; Fixed RegionPlotDataSource (now working so nicely)
0ae3dc4,daflair,Wed,12,Sep,2012,2012-09-12,13:01:43,-0400,Implemented DelayedCall for queueRecycleSpace
80e268c,daflair,Sat,8,Sep,2012,2012-09-08,19:03:14,-0400,Working on new RegionPlot DataReader
e6f206f,daflair,Fri,7,Sep,2012,2012-09-07,22:54:03,-0400,Implemented event-driven DataReader & DataSource (Awesome)
b506c90,daflair,Mon,3,Sep,2012,2012-09-03,12:59:02,-0400,Added relative font size in label functions; improved export script
62d0161,daflair,Mon,3,Sep,2012,2012-09-03,11:27:14,-0400,Added @UPBeta.TestDataReader
002cad8,daflair,Mon,3,Sep,2012,2012-09-03,11:26:48,-0400,Implementing new @Styles
648e92b,daflair,Mon,3,Sep,2012,2012-09-03,11:26:33,-0400,Improved plot label
0ac48b7,daflair,Mon,3,Sep,2012,2012-09-03,11:26:16,-0400,Improved DataReader2
90432d9,daflair,Sun,2,Sep,2012,2012-09-02,06:16:13,-0400,"Implemented flip-color map, Fixed outliers sigma issue"
c98779e,daflair,Sun,2,Sep,2012,2012-09-02,06:14:24,-0400,Implementing new DataReader with ReaderStates
042d3db,daflair,Fri,31,Aug,2012,2012-08-31,18:33:49,-0400,Refactoring DataReader
3b4a933,daflair,Fri,31,Aug,2012,2012-08-31,18:33:23,-0400,Implemented label function for RegionStats / PlotLabels; fixes RegionStats.StatsMode issue
75d0616,daflair,Thu,30,Aug,2012,2012-08-30,18:25:32,-0400,Implemented ColorBar; Improving Export
b31d86c,daflair,Wed,29,Aug,2012,2012-08-29,20:24:59,-0400,Implemented DataStats for GenerateUPStats & RegionStatsDataSource
768c41a,daflair,Wed,29,Aug,2012,2012-08-29,12:24:11,-0400,"Improved grid, subplot data & style, plot label position"
dc49a74,daflair,Wed,29,Aug,2012,2012-08-29,12:23:01,-0400,Renamed 'output' folder to 'Output' (title case)
3cc4563,daflair,Sun,26,Aug,2012,2012-08-26,13:50:35,-0400,Refactored through Grasppe.MatLab
3fadc22,daflair,Mon,20,Aug,2012,2012-08-20,12:57:43,-0400,"Working on plot styling, labels‰Û_ etc."
01eff56,daflair,Sun,19,Aug,2012,2012-08-19,11:48:32,-0400,Minor improvements to curve filling
8eee058,daflair,Sun,19,Aug,2012,2012-08-19,08:07:21,-0400,Implemented debugStamp(err); Improved spectrum subplots color and splines
e485a05,daflair,Sat,18,Aug,2012,2012-08-18,20:15:22,-0400,"Fixing major bugs in loading sequence, improved fill spectra"
7bd4a23,daflair,Sat,18,Aug,2012,2012-08-18,12:04:34,-0400,Deleted useless patch data source
3648b79,daflair,Sat,18,Aug,2012,2012-08-18,12:04:21,-0400,"Renaming Processor/Reader; Fixing RegionStatsDataSource loading issues; Created CaseData, SetData, SheetData SimpleDataModels; Improved debugStamp; Added mediator construct arguments"
de27fa4,daflair,Sat,18,Aug,2012,2012-08-18,06:49:04,-0400,"Implemented export plots script, fixed cmd+shft+h/up/down page controls, basic volume spectra"
2ce3248,daflair,Fri,17,Aug,2012,2012-08-17,14:40:06,-0400,"Improved performance, export, setSheet, DataSources, debugStamps"
41e190e,daflair,Fri,17,Aug,2012,2012-08-17,10:36:35,-0400,Implementing figure export functionality
9c2042c,daflair,Thu,16,Aug,2012,2012-08-16,18:56:00,-0400,Implementing vector export support
0d64748,daflair,Thu,16,Aug,2012,2012-08-16,06:02:52,-0400,Added all sheets data getter
e9537c7,daflair,Thu,16,Aug,2012,2012-08-16,06:01:26,-0400,Added support for OuterPosition option
21ee5f9,daflair,Thu,16,Aug,2012,2012-08-16,06:00:50,-0400,Reorganizing‰Û_
f6baf73,daflair,Thu,26,Jul,2012,2012-07-26,13:56:47,-0400,Reorganizing...
5ecd42f,daflair,Thu,26,Jul,2012,2012-07-26,13:56:31,-0400,Reorganizing‰Û_
6f12ef5,daflair,Thu,26,Jul,2012,2012-07-26,13:55:05,-0400,Clearing outputs
8981fe7,daflair,Thu,26,Jul,2012,2012-07-26,10:08:14,-0400,Preparing for SUP201208
0cd94d1,daflair,Wed,23,May,2012,2012-05-23,15:27:24,-0400,Minor exception handling in cleardebug
a43be51,daflair,Wed,25,Apr,2012,2012-04-25,10:06:08,-0400,Implemented BuildSurfsBuffer script
d53444b,daflair,Tue,24,Apr,2012,2012-04-24,23:08:13,-0400,Implemented alpha Plot Labels
6f0c70e,daflair,Tue,24,Apr,2012,2012-04-24,12:18:15,-0400,Implementing Plot Labels
462af57,daflair,Tue,24,Apr,2012,2012-04-24,11:09:46,-0400,"Implemented X/Y-Lim, implementing Plot Labels, fixed empty string Text constructor bug"
b83b5ae,daflair,Mon,23,Apr,2012,2012-04-23,12:22:43,-0400,"Working on ColorMaps, beta UPStats data source"
7b2812c,daflair,Tue,17,Apr,2012,2012-04-17,06:25:30,-0400,Implementing future Cast/Options enumerations
9c4bd20,daflair,Tue,17,Apr,2012,2012-04-17,06:25:01,-0400,Minor optimizations & refactoring
efcc573,daflair,Fri,13,Apr,2012,2012-04-13,12:53:00,-0400,Improving efficiency around genvarname
617fe71,daflair,Fri,13,Apr,2012,2012-04-13,12:04:07,-0400,"Implemented plot creation / PlotMediator, Improved prototype garbage collection, debugStamp"
172b232,daflair,Tue,10,Apr,2012,2012-04-10,06:02:49,-0400,Implementing realtime region stats data source
0506a23,daflair,Mon,9,Apr,2012,2012-04-09,08:50:08,-0400,"Extracted ""live"" demo script from ""profile"" test script"
cd8d2dc,daflair,Sun,8,Apr,2012,2012-04-08,16:06:40,-0400,Optimized disp & test script
009a05f,daflair,Sat,7,Apr,2012,2012-04-07,20:15:24,-0400,Added toolbar creation / initialization  PlotMediator
