ID	Uppercase	Lowercase
Samples.Symbol	n	
Outliers.Symbol	x	
Score.Symbol	s	
Factor.Symbol	f	
Proportion.Symbol	p	
Directionality.Symbol	d	
Rank.Symbol	r	
Mask.Symbol	z	
Mean.Symbol	μ	x̄
Sigma.Symbol	Ｓ	σ
Sample.Symbol	smp	
Reference.Symbol	ref	
Tolerance.Symbol	tol	
Circumferential.Symbol	cir	
Axial.Symbol	axs	
Regional.Symbol	rgn	
Inaccuracy.Symbol	Λ	λ
Imprecision.Symbol	Κ	κ
Unevenness.Symbol	Ξ	ξ
Unrepeatability.Symbol	Ζ	ζ
Density.Symbol	D	
Density.Value	D	
Density.Sample	Dsmp	
Density.Reference	Dref	
Inaccuracy.Value	Λ	λ
Imprecision.Value	Κ	κ
Inaccuracy.Score	sΛ	sλ
Imprecision.Score	sΚ	sκ
Inaccuracy.Proportion	pΛ	pλ
Imprecision.Proportion	pΚ	pκ
Inaccuracy.Rank	rΛ	rλ
Imprecision.Rank	rΚ	rκ
Inaccuracy.Around	dΛc	dλc
Imprecision.Around	dΚc	dκc
Inaccuracy.Across	dΛa	dλa
Imprecision.Across	dΚa	dκa
Unevenness.Value	Ξ	ξ
Unrepeatability.Value	Ζ	ζ
Unevenness.Factor	fΞ	fξ
Unrepeatability.Factor	fΖ	fζ
Unevenness.Rank	rΞ	rξ
Unrepeatability.Rank	rΖ	rζ
Unevenness.Samples	nΞ	nξ
Unrepeatability.Samples	nΖ	nζ
